2020-04-19 16:10:31.184 DEBUG 623 --- [main] o.s.b.f.s.DefaultListableBeanFactory     : Creating shared instance of singleton bean 'entityManagerFactoryBuilder'
2020-04-19 16:10:31.188 DEBUG 623 --- [main] o.s.b.f.s.DefaultListableBeanFactory     : Creating shared instance of singleton bean 'jpaVendorAdapter'
2020-04-19 16:10:31.228 DEBUG 623 --- [main] o.s.b.f.s.DefaultListableBeanFactory     : Autowiring by type from bean name 'entityManagerFactoryBuilder' via factory method to bean named 'jpaVendorAdapter'
2020-04-19 16:10:31.234 DEBUG 623 --- [main] o.s.b.f.s.DefaultListableBeanFactory     : Autowiring by type from bean name 'entityManagerFactory' via factory method to bean named 'entityManagerFactoryBuilder'
2020-04-19 16:10:31.244 DEBUG 623 --- [main] o.s.jdbc.datasource.DataSourceUtils      : Fetching JDBC Connection from DataSource
2020-04-19 16:10:31.245 DEBUG 623 --- [main] com.zaxxer.hikari.HikariConfig           : HikariPool-1 - configuration:
2020-04-19 16:10:31.247 DEBUG 623 --- [main] com.zaxxer.hikari.HikariConfig           : allowPoolSuspension.............false
2020-04-19 16:10:31.248 DEBUG 623 --- [main] com.zaxxer.hikari.HikariConfig           : autoCommit......................true
2020-04-19 16:10:31.248 DEBUG 623 --- [main] com.zaxxer.hikari.HikariConfig           : catalog.........................none
2020-04-19 16:10:31.248 DEBUG 623 --- [main] com.zaxxer.hikari.HikariConfig           : connectionInitSql...............none
2020-04-19 16:10:31.248 DEBUG 623 --- [main] com.zaxxer.hikari.HikariConfig           : connectionTestQuery.............none
2020-04-19 16:10:31.248 DEBUG 623 --- [main] com.zaxxer.hikari.HikariConfig           : connectionTimeout...............30000
2020-04-19 16:10:31.248 DEBUG 623 --- [main] com.zaxxer.hikari.HikariConfig           : dataSource......................none
2020-04-19 16:10:31.249 DEBUG 623 --- [main] com.zaxxer.hikari.HikariConfig           : dataSourceClassName.............none
2020-04-19 16:10:31.249 DEBUG 623 --- [main] com.zaxxer.hikari.HikariConfig           : dataSourceJNDI..................none
2020-04-19 16:10:31.249 DEBUG 623 --- [main] com.zaxxer.hikari.HikariConfig           : dataSourceProperties............{password=<masked>}
2020-04-19 16:10:31.250 DEBUG 623 --- [main] com.zaxxer.hikari.HikariConfig           : driverClassName................."com.mysql.jdbc.Driver"
2020-04-19 16:10:31.250 DEBUG 623 --- [main] com.zaxxer.hikari.HikariConfig           : healthCheckProperties...........{}
2020-04-19 16:10:31.250 DEBUG 623 --- [main] com.zaxxer.hikari.HikariConfig           : healthCheckRegistry.............none
2020-04-19 16:10:31.250 DEBUG 623 --- [main] com.zaxxer.hikari.HikariConfig           : idleTimeout.....................600000
2020-04-19 16:10:31.250 DEBUG 623 --- [main] com.zaxxer.hikari.HikariConfig           : initializationFailTimeout.......1
2020-04-19 16:10:31.251 DEBUG 623 --- [main] com.zaxxer.hikari.HikariConfig           : isolateInternalQueries..........false
2020-04-19 16:10:31.251 DEBUG 623 --- [main] com.zaxxer.hikari.HikariConfig           : jdbcUrl.........................jdbc:mysql://localhost:3306/blog
2020-04-19 16:10:31.251 DEBUG 623 --- [main] com.zaxxer.hikari.HikariConfig           : leakDetectionThreshold..........0
2020-04-19 16:10:31.251 DEBUG 623 --- [main] com.zaxxer.hikari.HikariConfig           : maxLifetime.....................1800000
2020-04-19 16:10:31.251 DEBUG 623 --- [main] com.zaxxer.hikari.HikariConfig           : maximumPoolSize.................10
2020-04-19 16:10:31.251 DEBUG 623 --- [main] com.zaxxer.hikari.HikariConfig           : metricRegistry..................none
2020-04-19 16:10:31.251 DEBUG 623 --- [main] com.zaxxer.hikari.HikariConfig           : metricsTrackerFactory...........none
2020-04-19 16:10:31.252 DEBUG 623 --- [main] com.zaxxer.hikari.HikariConfig           : minimumIdle.....................10
2020-04-19 16:10:31.252 DEBUG 623 --- [main] com.zaxxer.hikari.HikariConfig           : password........................<masked>
2020-04-19 16:10:31.252 DEBUG 623 --- [main] com.zaxxer.hikari.HikariConfig           : poolName........................"HikariPool-1"
2020-04-19 16:10:31.253 DEBUG 623 --- [main] com.zaxxer.hikari.HikariConfig           : readOnly........................false
2020-04-19 16:10:31.253 DEBUG 623 --- [main] com.zaxxer.hikari.HikariConfig           : registerMbeans..................false
2020-04-19 16:10:31.254 DEBUG 623 --- [main] com.zaxxer.hikari.HikariConfig           : scheduledExecutor...............none
2020-04-19 16:10:31.254 DEBUG 623 --- [main] com.zaxxer.hikari.HikariConfig           : schema..........................none
